,t[s],T[K],p[Pa],x_AC,x_AC_GA,x_AC_GAA,x_AKT,x_AKTA,x_AMPK,x_AMPKA,x_ATG5,x_ATG5T,x_ATG5_BCL2,x_AUT,x_BAX,x_BAXA,x_BCL2,x_BCL2_BAX,x_BCL2_PUMA,x_BEC1,x_BEC1A,x_BEC1_BCL2,x_BEC1_UVG,x_BID,x_CA2ER,x_CA2IC,x_CALPAIN,x_CALPAINA,x_CAMKKB,x_CAMKKBA,x_CAMP,x_CASP,x_CCH,x_CYTC,x_CYTCM,x_DAPK,x_DAPKA,x_DRAM,x_DS,x_EPAC,x_EPACA,x_GA,x_GAA,x_GABC,x_GBC,x_GPCRA,x_INSULIN,x_IP3,x_IP3R,x_IP3R_BCL2,x_IP3R_IP3,x_MDM2,x_MTOR,x_MTORA,x_MTOR_RAP,x_NS,x_P53,x_P53A,x_P53A_BCL2,x_PHAG,x_PI3K,x_PI3KA,x_PIP2,x_PKA,x_PKAA,x_PKC,x_PKC_CA2IC,x_PLCE,x_PLCEA,x_PREAUT,x_PROCASP,x_PUMA,x_RAP,x_REF,x_RHEB,x_RHEBA,x_SERCA,x_SERCAA,x_TBID,x_TG,x_TG_SERCA,x_TSC,x_TSCA,x_ULK,x_ULKA,x_UVG,x_UVG_BAX
min,0.0,309150000000000.0,2.5705e+21,108.04939999999999,0.01263855,5.781091e-06,0.01075395,33.512879999999996,60.679170000000006,0.012038410000000001,101.4346,0.3665154,0.030772309999999997,0.02406337,3.280314,-2.7039419999999996e-07,22.60147,1.1651610000000001,0.8688861999999999,50.64416000000001,0.0,0.0001822447,0.01289681,0.1991408,641.1953,39.544819999999994,12.40552,0.003918924,44.46524,0.01373102,-8.282275e-05,0.0,-2.788293e-17,-7.645455000000001e-05,10.92888,53.72922,-2.44975e-05,0.0107499,0.0,5.347740000000001,2.9385389999999996e-07,5.4151299999999996,1.762325e-05,0.01997937,4.90327,5.262595,100.0,0.2266613,0.0,0.01065526,1.6620639999999997e-07,-0.00017541359999999998,0.011205590000000001,156.0583,-2.278526e-17,-5.937569e-18,13.46171,6.660778e-07,0.013081240000000001,-0.0003721347,-7.372823e-07,-2.090834e-06,239.22359999999998,76.37210999999999,6.78944e-05,1.435448,0.01358483,5.537577,-3.1702720000000005e-05,0.007797301,-0.009812340999999999,0.001292516,-8.272145999999998e-18,999999600000.0,0.01276167,166.14950000000002,52.92662,0.0,0.0,0.0,0.0,121.37169999999999,8.246973999999999e-08,34.07139,0.017399750000000002,0.39086150000000003,0.0113512
max,9.130696e+17,309150000000000.0,2.5705e+21,297.1226,0.09923841,0.09385247999999999,51.08449,142.1672,560.6506,339.3433,298.7918,44.218779999999995,46.97742,0.1687625,349070.9,535.4544,108.2944,31.57297,74.34202,137.5112,2.399499,0.09005806000000001,5.894913,28.43774,1502.464,148.3688,29.738619999999997,0.09956597,144.3106,17.65584,0.09851024,35.737410000000004,5.1022759999999996e-18,0.09717336,29.340220000000002,148.8496,0.09595482,0.104884,0.0,14.579410000000001,0.0993063,14.12044,0.09414996,0.8654631,14.65977,13.880469999999999,100.0,202.0051,0.09104668,0.17340470000000002,0.09756754999999999,0.09872662,173.1796,557.2715999999999,5.3489390000000005e-20,2.313725e-17,35.62632,0.09929614,0.1878107,0.09328615,2.090834e-06,7.372823e-07,928.5469,217.1225,0.08662711999999999,14.94758,10.48102,14.682049999999998,0.09638767,0.1011566,35.734790000000004,0.13713820000000002,2.910471e-20,1000000000000.0,0.09995428,444.7293,133.438,0.0,9.109298,0.0,0.0,324.7169,0.09991671,103.2671,19.01835,143.4768,139.484
