,AMPK,AMPK_ATP,AMPK_ADP,AMPK_AMP,ATP,ADP,AMP,PYRUVATE
48,1.19333e-10,1.53539e-13,5.91861e-07,7.98415e-09,2.82901e-10,7.43934e-06,1.67492e-07,1.67783e-07
49,1.19336e-10,1.42494e-13,5.91837e-07,8.00854e-09,2.62544e-10,7.43885e-06,1.67999e-07,1.55693e-07
50,1.19338e-10,1.32297e-13,5.91813e-07,8.03293e-09,2.4375e-10,7.43837e-06,1.68506e-07,1.44531e-07
51,1.19341e-10,1.2289e-13,5.91788e-07,8.05732e-09,2.26413e-10,7.43788e-06,1.69013e-07,1.34232e-07
52,1.19344e-10,1.1413e-13,5.91764e-07,8.08171e-09,2.10268e-10,7.43739e-06,1.69519e-07,1.24642e-07
53,1.19347e-10,1.05975e-13,5.91739e-07,8.1061e-09,1.95238e-10,7.43689e-06,1.70026e-07,1.15714e-07
54,1.1935e-10,9.83852e-14,5.91715e-07,8.13049e-09,1.81251e-10,7.4364e-06,1.70533e-07,1.07404e-07
55,1.19353e-10,9.13236e-14,5.91691e-07,8.15487e-09,1.68238e-10,7.43591e-06,1.71039e-07,9.96725e-08
56,1.19356e-10,8.47785e-14,5.91666e-07,8.17925e-09,1.56176e-10,7.43541e-06,1.71545e-07,9.2506e-08
57,1.19359e-10,7.87652e-14,5.91642e-07,8.20364e-09,1.45095e-10,7.43492e-06,1.72052e-07,8.59215e-08
58,1.19362e-10,7.3165e-14,5.91618e-07,8.22802e-09,1.34776e-10,7.43442e-06,1.72558e-07,7.97891e-08
59,1.19366e-10,6.79511e-14,5.91593e-07,8.2524e-09,1.25168e-10,7.43393e-06,1.73064e-07,7.40795e-08
60,1.19369e-10,6.30982e-14,5.91569e-07,8.27678e-09,1.16226e-10,7.43343e-06,1.7357e-07,6.87649e-08
61,1.19372e-10,5.85825e-14,5.91544e-07,8.30116e-09,1.07905e-10,7.43293e-06,1.74076e-07,6.38195e-08
62,1.19375e-10,5.43818e-14,5.9152e-07,8.32553e-09,1.00165e-10,7.43243e-06,1.74582e-07,5.92189e-08
63,1.19378e-10,5.05363e-14,5.91496e-07,8.34991e-09,9.30798e-11,7.43193e-06,1.75088e-07,5.50071e-08
64,1.19381e-10,4.69556e-14,5.91471e-07,8.37428e-09,8.64826e-11,7.43143e-06,1.75594e-07,5.10852e-08
65,1.19384e-10,4.36216e-14,5.91447e-07,8.39866e-09,8.03399e-11,7.43094e-06,1.761e-07,4.74333e-08
66,1.19387e-10,4.05181e-14,5.91423e-07,8.42303e-09,7.46222e-11,7.43044e-06,1.76606e-07,4.40337e-08
67,1.1939e-10,3.763e-14,5.91398e-07,8.44739e-09,6.93014e-11,7.42993e-06,1.77111e-07,4.08701e-08
68,1.19393e-10,3.49431e-14,5.91374e-07,8.47176e-09,6.43514e-11,7.42943e-06,1.77617e-07,3.79266e-08
69,1.19397e-10,3.24739e-14,5.91349e-07,8.49613e-09,5.98025e-11,7.42893e-06,1.78122e-07,3.52215e-08
70,1.194e-10,3.01841e-14,5.91325e-07,8.52049e-09,5.55843e-11,7.42843e-06,1.78628e-07,3.27129e-08
71,1.19403e-10,2.80518e-14,5.91301e-07,8.54485e-09,5.16563e-11,7.42793e-06,1.79133e-07,3.03768e-08
72,1.19406e-10,2.60668e-14,5.91276e-07,8.56921e-09,4.79997e-11,7.42743e-06,1.79638e-07,2.82019e-08
73,1.19409e-10,2.42193e-14,5.91252e-07,8.59357e-09,4.45967e-11,7.42693e-06,1.80144e-07,2.61776e-08
74,1.19412e-10,2.25004e-14,5.91228e-07,8.61793e-09,4.14304e-11,7.42643e-06,1.80649e-07,2.42942e-08
75,1.19416e-10,2.09146e-14,5.91203e-07,8.64228e-09,3.85094e-11,7.42592e-06,1.81154e-07,2.25565e-08
76,1.19419e-10,1.945e-14,5.91179e-07,8.66664e-09,3.58119e-11,7.42542e-06,1.81659e-07,2.09516e-08
77,1.19422e-10,1.80861e-14,5.91155e-07,8.69099e-09,3.32997e-11,7.42492e-06,1.82164e-07,1.94569e-08
78,1.19425e-10,1.68162e-14,5.9113e-07,8.71534e-09,3.09609e-11,7.42442e-06,1.82669e-07,1.80652e-08
79,1.19428e-10,1.56343e-14,5.91106e-07,8.73969e-09,2.8784e-11,7.42391e-06,1.83174e-07,1.67699e-08
80,1.19431e-10,1.45344e-14,5.91082e-07,8.76403e-09,2.67584e-11,7.42341e-06,1.83678e-07,1.55644e-08
81,1.19435e-10,1.35158e-14,5.91057e-07,8.78837e-09,2.48824e-11,7.42291e-06,1.84183e-07,1.4448e-08
82,1.19438e-10,1.25789e-14,5.91033e-07,8.81272e-09,2.31571e-11,7.4224e-06,1.84688e-07,1.34211e-08
83,1.19441e-10,1.17063e-14,5.91008e-07,8.83706e-09,2.15501e-11,7.4219e-06,1.85192e-07,1.24646e-08
84,1.19444e-10,1.08938e-14,5.90984e-07,8.86139e-09,2.00539e-11,7.4214e-06,1.85697e-07,1.1574e-08
85,1.19447e-10,1.01375e-14,5.9096e-07,8.88573e-09,1.86611e-11,7.4209e-06,1.86201e-07,1.07449e-08
86,1.1945e-10,9.43366e-15,5.90935e-07,8.91006e-09,1.73651e-11,7.42039e-06,1.86705e-07,9.9733e-09
87,1.19454e-10,8.77921e-15,5.90911e-07,8.9344e-09,1.616e-11,7.41989e-06,1.87209e-07,9.25585e-09
88,1.19457e-10,8.17979e-15,5.90887e-07,8.95873e-09,1.50563e-11,7.41939e-06,1.87714e-07,8.59868e-09
89,1.1946e-10,7.62144e-15,5.90862e-07,8.98306e-09,1.40282e-11,7.41888e-06,1.88218e-07,7.98652e-09
