,reaction,calibrated rate constant,original rate constant,source
63,AMPKA_AMP + TSC => AMPKA_AMP + TSCA,1.3537E+04,1.3537E+04,hajdu2024basal
64,RHEBA + TSCA => RHEB + TSCA,5.2292E+03,5.2292E+03,hajdu2024basal
65,RHEBA + MTOR => RHEBA + MTORA,1.4312E+08,1.4312E+08,hajdu2024basal
66,RHEB => RHEBA,9.2104E-08,9.2104E-08,hajdu2024basal
67,AKTA => AKT,5.0667E-07,5.0667E-07,hajdu2024basal
68,AKTA + TSCA => AKTA + TSC,6.4680E+09,6.4680E+09,hajdu2024basal
69,AMPKA + ULK => AMPKA + ULKA,3.3223E+05,4.0270E+03,hajdu2024basal
70,AMPKA_ATP + ULK => AMPKA_ATP + ULKA,3.3223E+05,4.0270E+03,hajdu2024basal
71,AMPKA_ADP + ULK => AMPKA_ADP + ULKA,3.423E+05,4.0270E+03,hajdu2024basal
72,AMPKA_AMP + ULK => AMPKA_AMP + ULKA,1.2203E+06,4.0270E+03,hajdu2024basal
73,ULKA => ULK,2.8119E-05,2.8119E-05,hajdu2024basal
74,AMPKA + ULKA => AMPK + ULKA,4.1653E+01,2.5661E+04,hajdu2024basal
75,AMPKA_ATP + ULKA => AMPK_ATP + ULKA,4.1653E+01,2.6661E+04,hajdu2024basal
76,AMPKA_ADP + ULKA => AMPK_ADP + ULKA,4.1653E+01,2.6661E+04,hajdu2024basal
77,AMPKA_AMP + ULKA => AMPK_AMP + ULKA,4.1653E+01,2.6661E+04,hajdu2024basal
